,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Lining Fabric,Number of Pockets,Sleeve Length,Type,Hemline,Occasion,Features
48,Allen Solly,Men Olive Green Solid Bomber Jacket,Rs. 2379,,Regular,,,Solid,Zip,,,,10532888,,Stand Collar,Polyester,3,Long Sleeves,Bomber,,,
49,Roadster,Men Navy Blue &amp; Grey Colourblocked Puffer Jacket,Rs. 1499,,Regular,,,Colourblocked,Zip,,,,9587553,,Mock Collar,Polyester,3,Long Sleeves,Puffer Jacket,,,
50,HRX by Hrithik Roshan,Men Grey Active Solid Bomber Jacket,Rs. 2024,,Regular,,,Solid,Zip,,,,9297535,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
51,Campus Sutra,Men Black Solid Lightweight Jacket,Rs. 799,,Regular,,,Solid,Zip,,,,10992042,,Mock Collar,Cotton,,Long Sleeves,Bomber,,,Lightweight
52,Roadster,Men Black Solid Puffer Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,9587625,,Mock Collar,Polyester,3,Long Sleeves,Puffer Jacket,,,
53,HRX by Hrithik Roshan,Active Men Black Solid Bomber Jacket,Rs. 2024,,Regular,,,Solid,Zip,,,,9297855,,Hooded,Polyester,3,Long Sleeves,Bomber,,,
54,Maniac,Men Navy Blue Striped Windcheater Bomber,Rs. 578,,Regular,,,Striped,Zip,,,,7779164,,Mandarin Collar,Fleece,,Long Sleeves,Bomber,,,Windcheater
55,Allen Solly Sport,Men Khaki Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656370,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
56,HERE&amp;NOW,Men Black Solid Biker Jacket,Rs. 2024,,Regular,,,,Zip,,,,6788954,,Stand Collar,Polyester,3,Long Sleeves,Biker Jacket,Straight,,
57,Red Tape,Men Navy Blue Striped Bomber Jacket,Rs. 1080,,Regular,,,Striped,Zip,,,,10975722,,Hooded,Polyester,2,Long Sleeves,Bomber,,,
58,HRX by Hrithik Roshan,Men Burgundy Solid Sporty Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,11846954,,Spread Collar,Polyester,2,Long Sleeves,Sporty Jacket,,,
59,Allen Solly Sport,Men Maroon Solid Quilted Jacket,Rs. 2099,,Regular,,,Solid,Zip,,,,10656378,,Mock Collar,Polyester,3,Long Sleeves,Quilted Jacket,,,
60,WROGN,Men Olive Green Solid Bomber Jacket,Rs. 1924,,Regular,,,Solid,Zip,,,,10187035,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
61,Roadster,Men Brown &amp; Black Reversible Bomber Jacket,Rs. 1299,,Regular,,,Checked,Zip,,,,9564665,,Stand Collar,Unlined,,Long Sleeves,Bomber,,,Reversible
62,Wildcraft,Men Teal Blue &amp; Black Colourblocked Padded Jacket,Rs. 2199,,Regular,,,Colourblocked,Zip,,,,10796056,,Mock Collar,Unlined,2,Long Sleeves,Padded Jacket,,,
63,Campus Sutra,Men Navy Blue Solid Windcheater Padded Jacket,Rs. 1174,,Regular,,,Solid,Zip,,,,12252916,,Hooded,Polyester,,Long Sleeves,Padded Jacket,,,Windcheater
64,HRX by Hrithik Roshan,Men Grey Solid Active Bomber Jacket,Rs. 1849,,Regular,,,Solid,Zip,,,,9297437,,Mock Collar,Polyester,2,Long Sleeves,Bomber,,,
65,Roadster,Men Blue Solid Denim Jacket,Rs. 1099,,Regular,,,Solid,Button,,,,6411301,,Hooded,Unlined,2,Sleeveless,Denim Jacket,,,
66,Fort Collins,Men Black Solid Lightweight Hooded Padded Jacket,Rs. 1249,,Regular,,,Solid,Zip,,,,12375238,,Hooded,Polyester,,Long Sleeves,Padded Jacket,,,Lightweight
67,U.S. Polo Assn.,Men Navy Blue Solid Reversible Bomber Jacket,Rs. 3899,,Regular,,,Solid,Zip,,,,10285047,,Mock Collar,Polyester,,Long Sleeves,Bomber,,,Reversible
68,Roadster,Men Brown Solid Leather Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,7116622,,Mock Collar,Polyester,2,Long Sleeves,Leather Jacket,,,
69,LOCOMOTIVE,Men White Solid Tailored  Jacket,Rs. 1159,,Regular,,,Solid,Button,,,,10611280,,Spread Collar,Cotton,4,Long Sleeves,Tailored Jacket,,,
70,Puma,Men Black Solid ESS Active Sporty Jacket 85171501,Rs. 2999,,Regular,,,Solid,Zip,,,,7141339,,Mock Collar,Polyester,2,Long Sleeves,Sporty Jacket,,,
71,WROGN,Men Burgundy Self Design Slim Fit Biker Jacket,Rs. 2529,,Regular,,,Self Design,Zip,,,,10187051,,Mock Collar,Polyester,5,Long Sleeves,Biker Jacket,,,
72,HERE&amp;NOW,Men Maroon Solid Sporty Jacket,Rs. 1149,,Regular,,,Solid,Zip,,,,7201609,,Mock Collar,Polyester,2,Long Sleeves,Sporty Jacket,,,
73,Van Heusen,Men Grey Solid Sporty Jacket,Rs. 2699,,Regular,,,Solid,Zip,,,,10780172,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
74,Allen Solly Sport,Men Olive Green Solid Hooded Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656386,,Hooded,Polyester,3,Long Sleeves,Bomber,,,
75,WROGN,Men Maroon Solid Bomber Jacket,Rs. 2364,,Regular,,,Solid,Zip,,,,6832146,,Mock Collar,Polyester,2,Long Sleeves,Bomber,,,
76,Roadster,Men Grey Solid Puffer Jacket,Rs. 1649,,Regular,,,Solid,Zip,,,,7295090,,Hooded,Polyester,3,Long Sleeves,Puffer Jacket,,,
77,Kook N Keech,Men Blue Solid Denim Jacket,Rs. 1279,,Regular,,,Solid,Button,,,,2241150,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
78,Allen Solly Sport,Men Navy Blue Solid Bomber Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,10656384,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
79,Roadster,Men Burgundy Solid Corduroy Jacket,Rs. 1599,,Regular,,,Solid,Zip,,,,12111548,,Spread Collar,Polycotton,4,Long Sleeves,Tailored Jacket,,,
